views,likes,comments,watch_time_minutes,video_length_minutes,subscribers,ad_revenue_usd,year,month,day,category_Entertainment,category_Gaming,category_Lifestyle,category_Music,category_Tech,device_Mobile,device_TV,device_Tablet,country_CA,country_DE,country_IN,country_UK,country_US
10026,1057,339,34851.09965067264,13.672055451668154,753781,240.5396970631208,2024,7,27,0,0,0,1,0,0,0,1,0,0,0,0,0
10094,303,160,47507.54331407403,22.688333429818112,981054,284.5274593240006,2025,1,18,0,0,0,0,1,1,0,0,1,0,0,0,0
10092,221,330,60498.5780532936,16.93223026934307,173160,347.27622232764634,2024,11,27,0,0,1,0,0,0,0,1,0,1,0,0,0
9943,1345,60,17886.978218835273,20.039457116128037,338260,160.283964855396,2025,3,25,1,0,0,0,0,0,1,0,0,0,1,0,0
10073,489,245,26111.17552465211,3.6648908969066825,504852,188.201874192532,2024,12,3,0,0,1,0,0,0,1,0,0,0,0,0,1
9804,1010,338,0.0,11.098399717576278,156446,279.1120966659737,2024,6,12,0,0,1,0,0,0,0,1,0,0,0,1,0
9774,1856,69,53348.927903338576,13.644730911276898,364772,335.5274586676025,2025,6,2,0,0,0,0,1,1,0,0,0,1,0,0,0
9794,835,391,30449.258201699828,23.10423728031032,10301,215.65639742553597,2025,5,17,0,0,0,0,0,0,0,0,1,0,0,0,0
9960,618,383,39763.618157009536,8.99453638079272,618908,256.56705074098124,2025,3,17,0,0,0,1,0,0,1,0,0,1,0,0,0
9942,1027,102,48958.79642973693,6.459105763698017,634747,302.02424080337124,2025,1,31,0,0,0,0,0,0,0,0,1,0,0,0,0
10125,1174,65,41767.73518443972,27.151940498109955,271933,270.965836667215,2024,11,22,0,0,0,1,0,0,0,0,1,0,0,0,0
10053,1628,413,19785.20539486253,29.894391093308307,553639,180.7375238946771,2025,3,31,1,0,0,0,0,0,0,0,0,1,0,0,0
9795,1828,129,27373.47183596564,22.90109697316303,720229,213.72465778090125,2025,1,22,0,0,0,0,1,0,0,1,1,0,0,0,0
9780,308,157,52937.92454275321,21.95479042516857,711242,308.52749667210065,2024,11,2,0,0,0,0,0,0,0,1,0,0,0,0,0
9920,1799,105,34721.3041446229,22.69150992374556,415686,248.10664482205175,2025,1,26,1,0,0,0,0,0,0,0,0,1,0,0,0
10021,1946,219,45743.52793488864,11.444497533102648,306189,305.08346078958914,2025,5,22,0,0,0,1,0,1,0,0,1,0,0,0,0
9949,1662,0,33385.208801180954,2.30007643671923,803842,241.3914944267467,2025,5,23,0,0,0,0,1,0,0,1,1,0,0,0,0
10052,1990,66,52577.6160596301,7.230923033178,593102,335.59111387268973,2024,9,10,1,0,0,0,0,1,0,0,0,0,0,1,0
10247,1176,170,16581.21641419844,3.27958059138886,632652,154.6978099342353,2025,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
9928,1535,408,22048.376285371207,26.60644950783849,191029,189.07166415303743,2024,6,26,0,0,0,1,0,0,0,0,0,0,0,1,0
9868,626,157,16920.219064124816,23.178720300615133,91026,144.64483172473606,2024,7,4,0,0,0,1,0,1,0,0,0,0,0,0,0
9893,220,369,53450.496988572144,3.5426352913583643,205569,313.664043852459,2025,1,30,0,0,0,0,1,1,0,0,0,1,0,0,0
10035,1259,151,0.0,18.09968084712208,257566,147.8805150030548,2024,10,27,0,0,0,0,1,0,0,0,0,1,0,0,0
9968,0,323,57697.2461683239,14.537681213395604,697130,349.579265625342,2024,12,23,0,1,0,0,0,0,1,0,1,0,0,0,0
10085,809,167,19494.334122331034,11.314129719801755,245573,161.22840328848727,2024,7,26,0,0,1,0,0,0,0,0,0,0,0,0,0
10133,1699,299,15595.629200678202,11.16598904396358,528998,160.66339274009857,2024,12,20,0,0,0,1,0,1,0,0,0,0,1,0,0
10098,1516,131,23557.56902504699,7.66162721633952,660932,191.9851177075029,2024,7,24,0,0,0,0,0,1,0,0,0,0,0,0,0
9964,464,230,35097.423976225844,9.835019822128308,872419,229.31243620806464,2024,7,13,0,0,0,0,1,0,1,0,0,1,0,0,0
10001,1353,380,42505.34464384526,5.867130296775716,480469,282.28778607752525,2025,6,2,0,1,0,0,0,0,0,1,0,0,0,1,0
10001,0,414,16299.660017353575,24.193341108195096,124529,154.71831047129342,2024,10,2,1,0,0,0,0,1,0,0,0,0,1,0,0
9929,1932,185,0.0,19.63818632171797,986248,234.13986916574015,2024,11,27,0,1,0,0,0,0,0,0,0,0,0,0,1
10151,1850,421,26010.6252307744,24.5504106961597,837462,214.551197373064,2024,11,23,0,0,1,0,0,0,0,1,0,0,1,0,0
9795,457,216,42773.116311566286,29.906183023158743,47620,264.2582707658467,2024,7,25,0,0,0,0,1,0,0,1,0,0,0,1,0
10166,317,383,52754.11235030487,11.546566335188828,66516,313.7111470299675,2024,9,28,0,0,0,0,1,0,0,0,0,0,0,0,0
10180,325,380,27168.012610780435,19.529190193536447,939271,193.24344917976404,2024,10,13,0,1,0,0,0,0,0,0,1,0,0,0,0
9987,856,179,40777.63088018746,3.535899803419248,377964,262.0727004932661,2024,11,10,0,0,0,1,0,0,0,1,0,1,0,0,0
9989,450,0,0.0,22.08538485085761,429793,213.6837668196288,2024,12,26,0,0,0,1,0,0,0,0,0,0,0,0,0
10013,1256,166,38177.28077254078,29.58863180545558,498732,256.60023268793265,2025,1,27,0,0,1,0,0,1,0,0,0,0,1,0,0
9982,1099,197,39735.17683585204,12.999688545995712,621563,261.6178606902982,2025,1,12,0,0,0,0,1,1,0,0,0,0,0,0,1
9949,1826,245,39274.76590617735,4.577987241792137,183444,272.59549199139707,2024,7,8,0,0,0,0,1,0,0,1,0,0,0,0,0
10039,501,73,28023.18668649769,4.5935013848985164,434927,194.2889893044848,2025,5,6,0,0,0,0,1,0,1,0,0,0,0,0,0
10091,448,486,25142.059188026826,5.016507335456824,946478,187.16419817904935,2024,11,25,0,0,0,0,0,0,0,1,0,0,0,1,0
10117,1361,288,23675.72538102248,28.99229552307695,6647,192.67554223559517,2025,3,11,0,0,0,0,1,0,0,0,1,0,0,0,0
9853,1564,140,21268.611246405664,15.769153853461216,671298,180.89687738059007,2024,12,3,0,0,0,0,1,0,1,0,0,0,0,0,1
10236,221,230,39733.52385878395,16.943674447144602,449742,248.41019481359288,2025,2,21,1,0,0,0,0,0,1,0,0,0,1,0,0
10028,1518,83,47357.40012920658,7.560315495515814,466031,303.0349248900682,2024,12,23,0,0,1,0,0,0,1,0,0,1,0,0,0
9978,1211,265,30444.04206966696,28.73333921995321,235362,220.88735617507876,2024,8,26,0,1,0,0,0,0,1,0,0,0,0,0,0
9914,1865,284,51990.65732574371,20.93609672686368,103305,333.7032655047911,2024,8,20,0,0,0,0,1,0,0,1,0,0,0,1,0
9999,481,301,57326.497710071686,13.568568922904458,197000,335.80704819994054,2024,10,8,0,1,0,0,0,0,0,1,0,1,0,0,0
9913,1191,290,48737.98118996643,24.489185925094944,215258,306.88204608582555,2024,7,26,1,0,0,0,0,0,0,1,0,0,0,0,1
9763,725,258,37352.86477099013,22.71856906163864,383582,243.8656481209869,2025,3,8,0,0,1,0,0,1,0,0,0,1,0,0,0
10211,2040,403,49667.742158255445,4.852402764432487,385073,329.3523673710092,2024,7,26,0,0,0,1,0,0,0,0,0,0,1,0,0
10105,755,122,31000.56212038505,22.63045378113207,708964,213.87758570223107,2024,9,6,0,0,1,0,0,0,0,0,0,0,0,0,1
9973,1759,307,43158.75331446362,21.47996402161352,196452,290.94580187662024,2024,7,18,0,0,0,1,0,0,0,0,0,1,0,0,0
9828,1796,356,18582.53292122411,2.440223256943668,586230,175.80293928032927,2025,1,19,0,0,0,1,0,0,0,1,0,0,0,0,0
9987,1529,356,47979.15292698681,16.297876812051936,694559,310.63378257555013,2025,5,4,0,1,0,0,0,0,1,0,0,0,1,0,0
9958,1722,314,47425.76199702365,18.054511774199025,941806,310.4689900899143,2024,11,12,0,0,0,1,0,0,1,0,0,0,0,0,1
10037,1604,228,39168.75989839235,23.3231905656002,687426,268.4464602742436,2025,5,28,0,0,0,1,0,0,1,0,0,0,0,0,1
9947,1041,439,44249.76881634422,19.87656097667297,836855,285.88217472513634,2025,2,23,0,1,0,0,0,1,0,0,0,0,0,0,1
10202,365,178,35671.170270410614,24.049798156695097,144408,230.66216692748085,2025,5,1,0,1,0,0,0,0,1,0,0,0,0,0,1
10090,1755,125,36401.67717176805,26.546876947060333,591585,256.50209377271864,2024,8,21,0,1,0,0,0,1,0,0,1,0,0,0,0
10107,1723,219,45067.29652175101,9.485213881206306,395597,298.5106579043144,2024,8,7,0,0,0,1,0,1,0,0,0,0,1,0,0
10145,1977,445,23489.544701558,29.420373183760923,351869,205.22950110576832,2025,1,24,0,0,0,1,0,0,0,1,0,0,0,0,0
9921,715,379,30989.633394814497,7.076375487942519,669011,216.59700496571463,2025,4,5,0,0,0,1,0,0,1,0,1,0,0,0,0
9925,0,424,51023.87962855502,21.4937428817576,774823,323.1183491695624,2025,3,8,0,0,0,1,0,0,0,1,0,0,0,0,1
10085,507,0,36365.2893195578,14.794187192812448,798376,237.20934158394047,2024,8,5,0,0,0,0,1,0,0,0,0,1,0,0,0
10064,1840,0,49965.79092086484,27.2254574419126,444918,322.89322462485217,2025,1,7,1,0,0,0,0,1,0,0,0,1,0,0,0
9910,1715,478,24816.611002312708,20.492249561382867,197245,206.32565649293483,2024,9,13,0,0,0,0,1,1,0,0,0,0,0,1,0
9801,598,201,55275.635116049554,24.580162435598577,740623,325.398710496622,2024,12,8,0,1,0,0,0,0,0,1,0,0,0,0,0
9996,620,164,54338.805499367285,22.52817776308676,361178,321.7402101995473,2025,3,26,0,1,0,0,0,0,1,0,0,0,0,1,0
9914,520,315,26054.17220856533,12.646220920261358,856311,188.84060011498684,2024,6,18,1,0,0,0,0,0,0,0,0,0,1,0,0
9973,970,391,45763.574556416,23.413466631597537,844790,291.10924119413056,2025,1,19,0,0,0,1,0,0,0,1,0,0,0,1,0
9849,1461,0,20427.464813333063,18.143945370445103,602992,180.93226137457088,2024,11,11,0,0,0,0,0,0,0,0,0,0,0,0,1
10060,629,196,0.0,3.6909226446937216,85016,346.5261458886365,2024,6,21,0,0,0,1,0,0,1,0,0,0,0,0,0
10170,743,351,36572.09350745757,20.610161806652968,614925,244.21310020861236,2025,2,6,0,0,0,1,0,0,1,0,0,1,0,0,0
10062,303,291,40164.81705293747,5.237453095277656,228912,251.9947249564432,2025,3,8,0,0,0,0,0,1,0,0,1,0,0,0,0
9903,1975,277,55388.22874645193,27.19929917760317,265209,351.43422015315355,2025,3,26,0,1,0,0,0,0,0,0,0,1,0,0,0
10037,1224,124,20564.11376421593,17.212775715708826,425436,172.41551376622274,2024,7,6,1,0,0,0,0,0,1,0,0,1,0,0,0
9866,842,483,50169.43334982577,10.189938347691031,453782,310.7045629367444,2025,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0
9965,1239,199,43841.959315364,12.481894479911482,376174,283.33146056069575,2024,6,12,0,1,0,0,0,1,0,0,0,0,0,0,0
10186,1946,248,17463.413417381737,19.14309868010627,627639,173.11399995050238,2025,2,2,0,0,0,1,0,0,1,0,0,0,1,0,0
9960,1774,316,44113.22872584125,11.708423871723934,425761,295.79047160413256,2025,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0
10033,0,400,23282.102754143023,9.5788368019719,984698,194.91958230766923,2024,6,13,0,0,0,0,1,0,0,0,0,0,1,0,0
10122,438,443,19703.5024915326,12.75688565367387,107316,160.7745211023822,2025,3,4,0,0,0,0,1,1,0,0,1,0,0,0,0
9816,1173,253,18897.710367953598,26.134549377480116,549290,164.74831211809308,2025,5,21,0,0,0,1,0,1,0,0,0,0,1,0,0
9974,282,155,24049.2826915395,12.963872046927092,631891,172.86053432366265,2024,8,20,0,0,0,0,0,0,0,0,0,0,0,0,0
10051,743,127,15237.169181073838,22.270346877033944,614036,139.15883457472657,2024,12,6,1,0,0,0,0,1,0,0,0,0,1,0,0
9983,1294,413,35345.032630534355,7.566128587855807,762548,247.98958138233456,2025,5,28,0,0,1,0,0,0,0,1,0,0,0,0,0
9955,1128,80,35977.35869797331,22.21711184079677,12714,242.24832538981775,2024,7,4,0,0,0,0,0,0,1,0,0,0,0,0,1
10091,447,466,51287.2313179486,6.910122871243052,383972,310.06561062677497,2025,1,3,0,0,0,0,1,0,0,1,0,0,1,0,0
10073,353,0,23191.307782070005,26.68213916333182,562014,176.22353817986553,2024,8,10,1,0,0,0,0,0,1,0,0,1,0,0,0
10001,267,470,58340.042896670326,18.89668023127115,849753,339.82243307759,2024,7,3,0,0,1,0,0,0,1,0,0,0,0,0,0
10025,1372,286,58406.20642371871,20.67796228423333,347914,356.0889642798742,2024,10,8,0,0,0,0,0,0,1,0,0,0,0,1,0
9903,0,133,49664.71186834433,23.549417143079182,918110,314.4818312915022,2025,2,18,1,0,0,0,0,1,0,0,0,1,0,0,0
9972,886,418,20612.59245909504,15.790667532287936,930802,171.54914925524346,2024,8,12,0,1,0,0,0,0,0,1,0,0,0,1,0
9966,1135,295,24395.34989465428,26.318192045306283,185505,191.517438181608,2024,11,21,0,1,0,0,0,0,0,0,0,0,0,0,1
9852,1697,416,16570.543775858652,21.64608637336192,961816,165.7720873616012,2024,9,26,0,1,0,0,0,0,1,0,0,0,0,0,0
10161,864,408,42105.80861194714,2.686397287473433,833608,273.3144526780368,2024,12,24,0,0,0,0,1,1,0,0,0,0,0,0,1
9987,1172,444,43495.60016983687,7.392095961764753,221793,284.87251536583085,2024,6,15,0,0,1,0,0,0,0,1,0,0,1,0,0
9999,1175,308,0.0,27.386847985972164,312711,341.24875693285594,2024,7,6,0,0,0,1,0,1,0,0,1,0,0,0,0
10128,1055,61,52346.202819696,7.026761487030889,141410,318.73998661230246,2024,12,19,0,0,0,0,1,1,0,0,0,0,1,0,0
10273,264,327,0.0,2.7007579295714885,597184,242.29052643721545,2024,7,17,0,0,1,0,0,0,0,1,0,0,1,0,0
9944,199,439,58705.44848391185,23.453554280513373,799592,339.54661047653843,2025,5,4,0,0,0,0,1,0,0,0,0,1,0,0,0
9950,1673,459,0.0,7.473298120842603,533452,226.28918852837057,2024,7,2,0,0,1,0,0,0,1,0,0,0,0,0,1
9937,1065,448,42940.65061199484,28.251320538970727,178946,280.2253689377602,2024,7,3,0,1,0,0,0,0,0,0,0,0,0,0,0
9939,307,264,14959.064173463505,15.81367352008315,732948,132.12511623939497,2024,7,30,0,0,0,0,1,1,0,0,0,0,0,0,0
9988,1798,373,36699.656111671575,9.311696346665313,643406,262.3769855445639,2024,12,31,0,0,1,0,0,0,0,1,0,0,0,1,0
10070,483,307,59256.833540553926,22.488330195850185,292529,345.4151220689609,2024,11,22,0,0,0,0,0,0,1,0,0,0,0,1,0
10058,1695,276,18804.672848547565,19.632062629169063,78951,174.93770552515986,2024,11,12,0,0,0,0,0,0,0,1,0,0,1,0,0
9903,1167,350,42632.673762476006,6.825830160937315,212587,278.66499713853807,2024,7,7,0,0,0,0,0,0,0,1,1,0,0,0,0
9991,1567,451,37406.32710480481,12.02325490350803,297312,263.0945774336114,2025,4,13,1,0,0,0,0,1,0,0,0,0,1,0,0
10161,0,253,41867.5168718184,9.70412740520591,879974,263.33953133690034,2025,1,14,0,0,0,1,0,0,0,1,1,0,0,0,0
10008,1145,422,24420.850210620705,6.868152692880024,868074,194.2111641022133,2024,12,3,0,0,0,0,0,0,1,0,1,0,0,0,0
9793,1237,334,35975.0182213756,24.560052442748574,132557,247.6322163407175,2024,10,7,0,0,0,1,0,0,1,0,1,0,0,0,0
9878,1570,148,36643.63043196192,20.60542733012426,261701,253.7538366573686,2025,4,4,0,0,1,0,0,0,0,0,0,0,1,0,0
9857,1115,110,27451.711985189428,24.700299151892143,74076,201.8354262461732,2024,7,23,0,0,1,0,0,0,0,0,0,0,0,0,1
10096,1767,0,26688.30106493433,25.138287636530254,83803,211.4611667057942,2024,7,12,1,0,0,0,0,1,0,0,0,0,0,1,0
9851,758,390,45436.51558397167,26.65347833470889,817107,285.27073601175573,2024,10,3,1,0,0,0,0,0,0,1,0,0,0,0,1
9888,779,164,48402.81579898534,10.436849504996337,915280,295.92484153295493,2025,2,23,0,0,0,0,0,0,0,0,0,0,1,0,0
10044,1024,264,16732.119709803566,10.189280763209831,264686,153.35467268783282,2024,7,17,0,0,1,0,0,0,0,1,0,0,0,0,0
9982,1981,0,50028.51598220962,23.717371164732565,616220,326.0272888716578,2024,11,29,0,0,0,1,0,0,1,0,0,0,0,0,0
10118,434,155,29007.90278482516,25.588208034843788,794733,199.6008998175552,2025,3,24,0,0,0,1,0,0,0,1,0,0,0,0,1
10025,1092,312,48928.4560352169,18.112174766540225,64084,307.0401844324488,2024,10,23,0,0,0,1,0,0,0,1,0,0,0,1,0
10031,750,418,22597.260889232177,24.488147777442627,281627,178.87587265753547,2024,7,3,0,0,0,0,0,0,1,0,1,0,0,0,0
10050,1923,488,37533.01935010845,3.8511739470231983,605523,270.75391518368593,2024,10,8,0,0,0,0,0,0,0,0,0,0,0,0,1
10087,667,356,22280.635490502264,16.072127960559335,668828,175.18274684555595,2024,9,23,1,0,0,0,0,1,0,0,0,0,0,1,0
10022,467,209,0.0,27.62508350975085,625757,327.2472744405976,2024,11,25,1,0,0,0,0,0,1,0,1,0,0,0,0
10117,228,0,58136.73796510343,6.9322334311796405,160887,335.05120077625577,2025,1,30,0,0,0,0,1,1,0,0,0,0,0,1,0
10071,1608,71,32759.08996618224,13.21886912591722,566115,235.77533114914408,2025,6,8,0,0,0,0,1,1,0,0,0,0,0,0,0
9991,608,190,40872.73038154501,8.87991169593468,455376,258.46848956446723,2025,4,3,0,0,1,0,0,0,0,1,0,0,0,0,1
10063,1994,181,0.0,13.157622234474534,340028,173.01521525588504,2025,4,21,0,1,0,0,0,0,1,0,0,1,0,0,0
10028,1834,437,53840.6314215059,18.67591350746073,569303,345.11587616969865,2025,1,23,0,1,0,0,0,0,0,1,1,0,0,0,0
10015,1309,0,38435.94993520608,17.690824057465356,944819,256.9020414467355,2025,5,22,0,1,0,0,0,1,0,0,0,0,0,0,1
10096,1821,202,57747.11625833109,18.58667462743545,953736,359.624981670812,2024,8,17,1,0,0,0,0,0,1,0,0,0,1,0,0
10076,1708,489,27357.152253759217,18.28884595954172,891847,219.2368035192567,2024,10,28,0,1,0,0,0,0,0,0,0,0,0,0,1
9987,1374,149,45364.2450879594,6.779677794186213,619758,292.0838847409817,2024,6,22,0,0,0,1,0,0,0,1,0,1,0,0,0
9964,1052,145,25863.03058997928,22.27641142542241,654292,194.42179731539207,2024,10,3,0,0,0,0,0,0,0,1,0,1,0,0,0
10132,0,261,0.0,19.86647926125173,983644,310.50630273425816,2024,11,21,0,1,0,0,0,1,0,0,0,0,1,0,0
9902,1113,307,31908.80842815967,21.153892736937596,256067,226.4345678354333,2024,10,22,0,0,0,0,0,0,0,0,0,0,0,0,1
9969,1612,478,28489.05122232329,16.308757527595773,443807,222.1766228425921,2024,7,22,0,1,0,0,0,1,0,0,0,1,0,0,0
10120,623,431,29321.417893272468,3.8685435026349255,176810,209.08151758401087,2024,10,16,0,1,0,0,0,0,0,1,0,0,1,0,0
9703,819,386,25840.33649893868,9.88519336390322,490303,193.0923914514469,2024,6,30,1,0,0,0,0,1,0,0,0,0,0,0,0
10134,1036,506,50377.74066903711,22.683066141107155,853598,316.8126760042702,2024,11,18,1,0,0,0,0,0,1,0,0,0,0,0,0
9988,1551,102,29328.90488692478,5.435542754777512,281077,218.724267425733,2024,12,27,0,0,0,0,1,0,1,0,0,0,0,0,1
10172,386,352,45084.6538951081,29.728475433993363,289623,278.2375932479052,2025,6,5,0,1,0,0,0,0,1,0,0,0,0,0,0
10130,1000,99,30756.402291162285,20.273464161266485,290266,216.67233751039527,2024,9,27,1,0,0,0,0,0,1,0,0,0,1,0,0
10014,1521,447,35130.669979165024,20.91665620812794,200883,251.6263821461751,2025,6,6,0,0,1,0,0,0,0,0,1,0,0,0,0
10049,0,420,29678.145633042564,8.299220888131467,440992,213.4699213961401,2024,9,28,0,1,0,0,0,1,0,0,0,0,1,0,0
10088,1062,185,31087.965416207146,21.046083632858792,439969,220.56039532532296,2025,3,22,0,1,0,0,0,0,1,0,0,0,0,1,0
10005,617,264,17283.41375710245,15.951608948266124,757429,148.75531043273452,2025,1,12,1,0,0,0,0,0,1,0,0,0,0,1,0
10126,1521,0,34418.93047581199,7.746601412391348,859947,242.89041363723877,2024,6,14,0,0,1,0,0,1,0,0,0,0,0,0,1
9975,642,227,45406.10646156865,24.479807367266027,12347,280.9781885653199,2024,11,19,0,1,0,0,0,0,0,0,0,0,1,0,0
10123,372,471,0.0,18.918218954554323,119287,229.8651453599904,2025,1,11,0,0,0,1,0,1,0,0,1,0,0,0,0
10115,839,220,38659.85495387815,10.910667472927976,382107,253.16779709069976,2024,10,6,0,1,0,0,0,0,1,0,1,0,0,0,0
10131,869,263,17203.974596306474,28.660687845830463,621822,153.35132662160993,2025,2,7,0,0,1,0,0,0,0,0,0,0,1,0,0
10037,504,197,52327.58336708615,6.994060246942174,670459,311.04530757201536,2024,10,27,1,0,0,0,0,0,0,1,0,0,1,0,0
9959,1697,459,55011.00683487333,25.088858973554263,103488,348.2975901816069,2024,8,11,0,0,0,0,0,0,0,1,0,0,0,0,1
9936,1905,477,52928.46584962079,24.078859158620386,187233,342.2438789814771,2024,11,24,0,1,0,0,0,0,0,0,0,0,0,0,0
9937,621,0,37792.875620315805,21.772641906087763,298615,247.36232392503516,2024,9,29,0,0,0,0,1,0,0,1,0,0,0,0,1
10086,1760,52,45819.88620453462,28.106256678045906,690979,299.71499476409423,2024,8,29,0,0,1,0,0,1,0,0,0,0,1,0,0
10020,205,485,32237.9079269174,11.611239997570271,426856,216.0541783687116,2024,12,10,0,0,1,0,0,1,0,0,0,0,0,1,0
10028,358,414,36952.17767557247,4.227179251512178,536971,239.73081733235784,2025,4,23,0,0,0,0,1,0,1,0,0,0,0,0,0
9957,489,138,21955.528543459277,4.733471889630174,104629,166.16647594297206,2024,11,23,0,1,0,0,0,0,0,0,0,0,0,0,0
10046,701,151,44867.61833329072,5.947550670706203,888173,278.51721998776054,2025,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1
9878,893,204,56591.41021136776,6.547906412338424,503783,337.12501037543234,2024,9,18,0,0,0,0,1,0,1,0,0,0,0,0,1
9914,1955,115,54642.47625050059,10.854212998638433,242650,344.847559609341,2025,5,28,0,0,0,0,0,0,1,0,0,1,0,0,0
9977,425,141,58818.12621002687,14.059616617764354,124124,339.01228724148785,2024,11,4,1,0,0,0,0,1,0,0,0,0,0,1,0
10141,265,178,29029.86752482481,20.40563582599582,310844,197.31493897302573,2025,3,4,0,0,1,0,0,0,0,0,0,0,0,0,0
10136,1138,403,51039.5024994404,16.404825344756286,563692,319.9258091986168,2024,12,2,0,0,0,1,0,0,1,0,0,0,1,0,0
9935,1129,114,42234.44145651685,7.338355874162612,728832,272.24491477244675,2025,1,17,0,0,0,0,0,0,0,0,0,0,0,1,0
9912,1574,449,46022.75398537498,7.96654290216629,371849,303.3913451016762,2025,1,4,0,0,1,0,0,0,0,1,0,0,0,0,0
9959,1717,0,58204.80978601096,15.679327609517063,274749,360.79397265567536,2025,5,17,0,0,0,0,0,0,1,0,0,0,0,0,1
10036,1153,0,51045.19282279016,23.564828259729502,58801,314.48163966823984,2024,10,19,1,0,0,0,0,0,1,0,0,0,1,0,0
10023,1107,212,54941.12164296391,9.537085174095017,457714,333.9157652365355,2025,5,6,1,0,0,0,0,1,0,0,0,0,0,0,0
9972,820,427,24431.379825049906,6.02147290202875,17852,188.5732794627623,2025,6,8,0,1,0,0,0,0,0,0,0,0,0,0,1
9870,1695,218,30631.214602289117,7.236127062615768,625368,228.71793826273196,2024,12,24,1,0,0,0,0,1,0,0,0,0,0,1,0
10059,1966,436,24518.729235852017,15.917609535592764,976120,209.2897874669386,2024,8,23,1,0,0,0,0,0,0,1,0,1,0,0,0
10019,1662,460,31230.157912995062,27.51557077989039,45933,235.9101830610566,2025,5,17,0,0,0,0,0,0,1,0,0,0,0,1,0
9950,0,465,31101.653380109685,16.39403939181204,98765,217.0012309443248,2024,9,20,0,0,0,0,0,0,1,0,1,0,0,0,0
10035,1205,140,38173.51784944332,26.13886222070141,120925,255.37369477288948,2024,11,10,0,0,0,0,0,0,1,0,0,0,0,0,1
9866,365,168,46315.423051121536,28.336805191721357,525022,278.92231086038106,2024,12,22,1,0,0,0,0,0,0,0,0,0,0,0,0
10131,1282,464,57871.3034966732,14.570838417545966,790328,355.63193400806,2025,2,26,0,0,0,0,0,0,0,0,0,0,0,0,1
9926,261,282,41117.83576059606,9.523994487019989,838557,254.9025972379501,2024,10,17,0,0,0,0,0,0,0,1,0,0,0,0,1
9971,1008,210,35161.254524918804,4.335114603886042,444186,238.65601295936085,2024,10,6,1,0,0,0,0,0,0,1,1,0,0,0,0
9854,0,425,21522.252562975937,17.310122690600892,15676,169.24174929610592,2024,12,11,0,0,0,1,0,0,1,0,0,1,0,0,0
10160,1142,74,37681.29554429033,4.438996940220678,833915,251.48722583603123,2025,2,8,0,1,0,0,0,1,0,0,0,0,1,0,0
